A Heartbreaking Work of Staggering Genius,1586,375725784,Dave Eggers,Philosophy,Vintage Books USA,2001
The Mystery of Capital: Why Capitalism Triumphs in the West and Fails Everywhere Else,1587,465016146,Hernando De Soto,Philosophy,Basic Books,2000
The Other Path: The Economic Answer to Terrorism,1588,465016103,Hernando De Soto,Philosophy,Perseus Books Group,2002
"In The Blink Of An Eye (The Taylor Clan) (Harlequin Intrigue, No. 651)",1589,373226519,Julie Miller,Philosophy,Harlequin,2002
The Importance of Being Earnest,1590,380012774,Oscar Wilde,Philosophy,Avon,1976
Les Thanatonautes,1591,225313922X,Bernard Werber,Philosophy,LGF,1996
Lost in a Good Book (Thursday Next Novels (Penguin Books)),1592,142004030,Jasper Fforde,Philosophy,Penguin Books,2004
Bad Heir Day,1593,452281784,Wendy Holden,Philosophy,Plume Books,2001
Charlotte Gray,1594,375704558,Sebastian Faulks,Philosophy,Vintage Books USA,2000
Apocalipstick,1595,038533656X,SUE MARGOLIS,Philosophy,Delta,2003
Harem: A Novel,1596,743230213,Dora Levy Mossanen,Philosophy,Touchstone,2002
The Dress Lodger (Ballantine Reader's Circle),1597,345436911,Sheri Holman,Philosophy,Ballantine Books,2001
Le Divorce (William Abrahams Book),1598,452284481,Diane Johnson,Philosophy,Plume Books,2003
Valley of the Dolls: A Novel,1599,802135196,Jacqueline Susann,Philosophy,Grove Press,1997
Tunnel Vision (V.I. Warshawski Novels (Paperback)),1600,440217520,Sara Paretsky,Philosophy,Dell,1995
Comfortable Wife,1601,373834985,Stephanie Laurens,Philosophy,Harlequin,2002
I Was Amelia Earhart,1602,679450548,Jane Mendelsohn,Philosophy,Random House Inc,1996
Summer Harvest,1603,451135555,Madge Swindells,Philosophy,Signet Book,1985
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",1604,345339703,J.R.R. TOLKIEN,Philosophy,Del Rey,1986
Watership Down,1605,038039586X,Richard George Adams,Philosophy,Harpercollins,1975
The Eyre Affair (Alex Awards (Awards)),1606,670030643,Jasper Fforde,Philosophy,Viking Books,2002
As Nature Made Him : The Boy Who Was Raised as a Girl,1607,60929596,John Colapinto,Philosophy,Perennial,2001
Herzsprung,1608,3499232871,Ildiko Kurthy,Philosophy,Distribooks Inc,2003
Basin and Range,1609,374516901,John McPhee,Philosophy,Noonday Press,1982
Breakfast of Champions,1610,440131480,Kurt Vonnegut,Philosophy,Dell Publishing Company,1991
The Art of Doing Nothing: Simple Ways to Make Time for Yourself,1611,609600745,Veronique Vienne,Philosophy,Clarkson N Potter Publishers,1998
Embers,1612,375707425,SANDOR MARAI,Philosophy,Vintage,2002
Tom Clancys Power Plays 2. Tigerjagd.,1613,3453151933,Tom Clancy,Philosophy,Heyne,1999
The  Garden of Ediacara,1614,231105592,Mark A. S. McMenamin,Philosophy,Columbia University Press,2000
Just Plain Cat,1615,590317822,Nancy K Robinson,Philosophy,Scholastic Inc,1981
Way Out West Lives a Coyote Named Frank (Picture Puffins),1616,014056232X,Jillian Lund,Philosophy,Puffin Books,1997
In My Father's House (Point),1617,590447319,Ann Rinaldi,Philosophy,Scholastic,1996
Island of the Blue Dolphins (Laurel Leaf Books),1618,440940001,Scott O'Dell,Philosophy,Laure Leaf,1978
How to Fight a Girl,1619,440401119,THOMAS ROCKWELL,Philosophy,Yearling,1988
Romantic Obsessions and Humiliations of Annie Sehlmeier,1620,440203155,Louise Plummer,Philosophy,Laurel-Leaf Books,1989
Shadow of the Hegemon (Ender Wiggins Saga (Paperback)),1621,812565959,Orson Scott Card,Philosophy,Tor Books,2001
Magic Casement (Man of His Word),1622,034536628X,Dave Duncan,Philosophy,Del Rey Books,1990
"Tantras (Forgotten Realms:  Avatar Trilogy, Book 2)",1623,880387483,Richard Awlinson,Philosophy,Wizards of the Coast,1989
"Shadowdale (Forgotten Realms:  Avatar Trilogy, Book One)",1624,880387300,Scott Ciencin,Philosophy,Wizards of the Coast,1989
The Night Crew,1625,425163385,John Sandford,Philosophy,Berkley Publishing Group,2004
CSI: Sin City,1626,743444051,Max Allan Collins,Philosophy,Pocket,2002
Blackmantle (Keltiad),1627,61056103,Patricia Kennealy-Morrison,Philosophy,Eos,1998
The Blue Nowhere : A Novel,1628,671042262,Jeffery Deaver,Philosophy,Pocket,2002
Sudden Prey,1629,425157539,John Sandford,Philosophy,Berkley Publishing Group,1997
Always a Thief,1630,553585681,Kay Hooper,Philosophy,Bantam Books,2003
Once a Thief,1631,553585118,Kay Hooper,Philosophy,Bantam Books,2002
A Thousand Words for Stranger (Daw Book Collectors),1632,886777690,Julie E. Czerneda,Philosophy,Daw Books,1997
Deck the Halls,1633,743212002,Mary Higgins Clark,Philosophy,Simon &amp; Schuster,2000
"Der Mann, der's wert ist.",1634,3426650754,Eva Heller,Philosophy,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",1994
Come Home Forever,1635,1854877178,Jan McDaniel,Philosophy,Scarlet Books,1997
The Renegades: Cole (Renegades),1636,380803526,Genell Dellin,Philosophy,Avon,1999
Christmas Miracles,1637,373152655,Betty Neels,Philosophy,Harlequin,1997
Fires in the Mist,1638,451404033,Barbara Dolan,Philosophy,New Amer Library (Mm),1994
Return to Love (Arabesque),1639,1583140352,Viveca Carlysle,Philosophy,Bet Books,1999
The Marriage Plan,1640,1854879073,Judy Jackson,Philosophy,Scarlet Books,1997
The Eagle and the Dove,1641,821728326,Lewis Orde,Philosophy,Zebra Books,1989
The Donovan Legacy,1642,037348397X,Nora Roberts,Philosophy,Harlequin,1999
"It Happened to Nancy : By an Anonymous Teenager, A True Story from Her Diary (Confident Collector)",1643,380773155,Beatrice Sparks,Philosophy,Avon,1994
Die Nadel,1644,3404100263,Ken Follett,Philosophy,Gustav Lubbe Verlag GmbH,1980
A Year in Provence,1645,679731148,Peter Mayle,Philosophy,Vintage Books USA,1991
Deus Irae,1646,2070417700,Philip Kindred Dick,Philosophy,Gallimard,2001
Le Vieil Homme et la Mer,1647,2070360075,Ernest Hemingway,Philosophy,Gallimard,1972
The Big Picture,1648,786889373,Douglas Kennedy,Philosophy,Warner Books (Mm),1998
Radio libre Albemuth,1649,2207245810,Philip Kindred Dick,Philosophy,DenoÃ?Â«l,1998
Siva,1650,2207250474,Philip K. Dick,Philosophy,DenoÃ?Â«l,2000
Dr. Bloodmoney,1651,2290331406,Philip K. Dick,Philosophy,J'ai lu,2002
L'oeil de la sibylle,1652,2070426815,Dick,Philosophy,Gallimard,2003
A rebrousse-temps,1653,2290305251,Philip K. Dick,Philosophy,J'ai lu,1999
La Perle,1654,2070364283,John Steinbeck,Philosophy,Gallimard,1973
Le Meilleur des mondes,1655,2266128566,Aldous Huxley,Philosophy,Pocket,2002
Histoires Extraordinaires,1656,2070363104,Edgar Allan Poe,Philosophy,Gallimard French,0
VÃ?Â©ronika dÃ?Â©cide de mourir,1657,2253152277,Paulo Coelho,Philosophy,LGF,2002
La Maison des feuilles,1658,2207252000,Mark Z. Danielewski,Philosophy,DenoÃ?Â«l,2002
Risque mortel,1659,2253170453,Robin Cook,Philosophy,LGF,1998
"Balade au bout du monde, tome 4 : La pierre de folie",1660,2723409821,Laurent Vicomte,Philosophy,GlÃ?Â©nat,1993
"Le Guide galactique, tome 1",1661,2070415686,Jean Bonnefoy,Philosophy,Gallimard,2000
La porte obscure,1662,2258036992,Philip K. (Philip Kindred) Dick,Philosophy,Presses de la CitÃ?Â©,1994
"Nouvelles : tome 2, 1953-1981",1663,2207251756,Philip Kindred Dick,Philosophy,DenoÃ?Â«l,2000
La Nuit Des Temps,1664,2266000489,Rene Barjavel,Philosophy,Presses De La Cite French,0
LA Peste (Folio Series: No. 42),1665,2070360423,Albert Camus,Philosophy,Distribooks,1985
Bears in the Night (Bright &amp; Early Books),1666,394822862,Stan Berenstain,Philosophy,Random House,1971
A First Book of Shapes (Preschool Dinosaur Playhouse),1667,874493803,A. J. Wood,Philosophy,Modern Publishing,1988
Edgar the Lion Who Would Be a Good King,1668,1569870942,Sunny Griffin,Philosophy,Landoll,1993
The Not-So-Perfect Picnic,1669,1579730272,Disney Enterprises Inc,Philosophy,Advance Publishers LLC,1998
Peters Welcom Tell a Tale Book,1670,307177092,Maida Silverman,Philosophy,Golden Books,0
Guerre De Troie N'Aura Pas Lieu,1671,2253004898,Jean Giraudoux,Philosophy,Distribooks Inc,2001
Miro (Famous Artists),1672,812094271,Nicholas Ross,Philosophy,Barron's Educational Series,1995
The Indian in the Cupboard,1673,380600129,Lynne Reid Banks,Philosophy,HarperTrophy,1999
The Time Machine and the Invisible Man,1674,451522389,H. G. Wells,Philosophy,Signet Classics,1984
Sworn to Defend,1675,425169324,Carolyn Wheat,Philosophy,Berkley Publishing Group,1999
What You Wish for,1676,082176828X,Fern Michaels,Philosophy,Zebra Books,2001
When the Wind Blows,1677,316693324,James Patterson,Philosophy,Replica Books,1998
Hyperion,1678,553283685,DAN SIMMONS,Philosophy,Bantam,1990
Dad Alert! (Orchard Red Apple S.),1679,1841215457,Ros Stanley,Philosophy,Orchard Books,2000
"No Survivors (Nightmare Room Thrillogy, 3)",1680,64410358,R. L. Stine,Philosophy,Avon Books,2001
Whizzard (Tales of the Dark Forest S.),1681,7108648,Steve Barlow,Philosophy,Trafalgar Square Books,2003
Circle of Three #3: Second Sight (Circle of Three),1682,64472930,Isobel Bird,Philosophy,Avon,2001
The Capture (Animorphs (Paperback Numbered)),1683,590629824,Katherine Applegate,Philosophy,Scholastic,1997
Pet Sematary,1684,743412273,Stephen King,Philosophy,Pocket,2001
Lazarillo De Tormes (Biblioteca Didactica Anaya),1685,8420725927,Anonimo,Philosophy,Continental Book Company,1998
The Second Rumpole Omnibus (Crime Monthly),1686,140089586,John Mortimer,Philosophy,Penguin Books,1989
Johnny Long Legs (Matt Christopher Sports Classics),1687,316140651,Matthew F Christopher,Philosophy,"Little, Brown",1988
Full House,1688,1559277785,Janet Evanovich,Philosophy,Audio Renaissance,2002
Witching Hour (Lives of the Mayfair Witches),1689,345367898,Anne Rice,Philosophy,Ballantine Books,1991
Including Students with Special Needs: A Practical Guide for Classroom Teachers,1690,205280854,Marilyn Penovich Friend,Philosophy,Prentice Hall,1998
"House Harkonnen (Dune: House Trilogy, Book 2)",1691,553110721,Brian Herbert,Philosophy,Bantam Books,2000
Sailing on the Ice: And Other Stories from the Old Squire's Farm,1692,1558534245,C. A. Stephens,Philosophy,Thomas Nelson Inc,1996
"House Atreides (Dune: House Trilogy, Book 1)",1693,553580272,Brian Herbert,Philosophy,Spectra Books,2000
Bertha Lum (American Printmakers),1694,1560980087,Mary Evans O'Keefe Gravalos,Philosophy,Smithsonian Inst Pr,1991
Where the Suckers Moon: An Advertising Story,1695,679412271,Randall Rothenberg,Philosophy,Alfred A. Knopf,1994
The Rocky Mountain Wonderland,1696,803281730,Enos A. Mills,Philosophy,Univ of Nebraska Pr,1991
First King of Shannara,1697,345396529,Terry Brooks,Philosophy,Ballantine Books,1996
Me and My Little Brain,1698,440455332,JOHN FITZGERALD,Philosophy,Yearling,1972
The Swan: A Novel,1699,1860462995,Sebastiano Vassalli,Philosophy,Harvill Press,1998
Asylum,1700,679452281,Patrick McGrath,Philosophy,Random House Inc,1997
Swimmer in the Secret Sea: Novella,1701,811807150,William Kotzwinkle,Philosophy,Chronicle Books Llc,1994
And the Sea Will Tell,1702,393029190,Vincent Bugliosi,Philosophy,W W Norton &amp; Co Inc,1991
Fishboy: A Ghost's Story,1703,385425686,Mark Richard,Philosophy,Anchor,1994
Popcorn,1704,312169655,Ben Elton,Philosophy,Thomas Dunne Books,1997
All New Great American Favorite Brand Name Cookbook,1705,785324712,Ltd Editorial Staff Publication International,Philosophy,Publications International,1997
The Sparrow,1706,449912558,MARY DORIA RUSSELL,Philosophy,Fawcett Books,1997
Glad Rags,1707,934257345,MacDonald Harris,Philosophy,Story Line Press,1991
Slightly  Chipped: Footnotes in Booklore,1708,312205872,Lawrence Goldstone,Philosophy,St Martins Pr,1999
"The 3,000 Mile Garden: An Exchange of Letters on Gardening, Food, and the Good Life",1709,670867144,Leslie Land,Philosophy,Viking Books,1996
"The Word \Desire\""",1710,805051732,Rikki Ducornet,Philosophy,Henry Holt &amp; Company,1997
Les Miserables,1711,449300021,VICTOR HUGO,Philosophy,Fawcett,1982
Before I Say Good-Bye : A Novel,1712,684835983,Mary Higgins Clark,Philosophy,Simon &amp; Schuster,2000
Summer Sisters,1713,440226430,Judy Blume,Philosophy,Dell Publishing Company,1999
Look at Me,1714,385721358,Jennifer Egan,Philosophy,Anchor Books/Doubleday,2002
I Capture the Castle,1715,031231616X,Dodie Smith,Philosophy,St. Martin's Griffin,2003
PowerPoint 2000 for Windows for Dummies,1716,764504509,Doug  Lowe,Philosophy,For Dummies,1999
What to Expect When You're Expecting (Revised Edition),1717,089480829X,Arlene Eisenberg,Philosophy,Workman Pub Co,1996
Babyville,1718,767912233,JANE GREEN,Philosophy,Broadway,2003
On Becoming Baby Wise: Parenting Your Pre Toddler 5-15 Months (On Becoming. . .),1719,971453217,Gary Ezzo,Philosophy,Hawks Flight &amp; Association,2001
"On Becoming Baby Wise: The Classic Reference Guide Used by Over 1,000,000 Parents Worldwide",1720,971453209,Gary Ezzo,Philosophy,Hawks Flight &amp; Association,2001
Starting Your Marriage Right &lt;i>what You Need To Know In The Early Years To Make It Last A Lifetime&lt;/i>,1721,785268030,Dennis Rainey,Philosophy,Nelson Books,2000
The Motley Fool Investment Guide : How The Fool Beats Wall Streets Wise Men And How You Can Too,1722,743201736,David Gardner,Philosophy,Fireside,2001
What to Expect the First Year,1723,894805770,Arlene Eisenberg,Philosophy,Workman Publishing,1989
Snow Queen,1724,440177499,Joan D. Vinge,Philosophy,Bantam Doubleday Dell,1984
Tea with the Black Dragon,1725,553232053,R. A. MacAvoy,Philosophy,Bantam Books,1983
Tattoo Girl,1726,312269102,Brooke Stevens,Philosophy,St. Martin's Griffin,2001
The Alchemist: A Fable About Following Your Dream,1727,62502174,Paulo Coelho,Philosophy,HarperSanFrancisco,1993
Miss Julia Speaks Her Mind : A Novel,1728,688177751,Ann B. Ross,Philosophy,Perennial,2000
Big Stone Gap: A Novel (Ballantine Reader's Circle),1729,345438329,Adriana Trigiani,Philosophy,Ballantine Books,2001
Your Blues Ain't Like Mine,1730,345401123,BEBE MOORE CAMPBELL,Philosophy,Ballantine Books,1995
"Use What You've Got, and Other Business Lessons I Learned from My Mom",1731,1593160151,Barbara Corcoran,Philosophy,Listen &amp; Live Audio,2003
Nina: Adolescence,1732,1593160127,Amy Hassinger,Philosophy,Listen &amp; Live Audio,2003
Fear of Flying,1733,451209435,Erica Jong,Philosophy,New American Library,2003
Diamond Spur,1734,1551669501,Diana Palmer,Philosophy,Mira,2002
The Reader,1735,375707972,Bernhard Schlink,Philosophy,Vintage Books USA,1999
The Silmarillion,1736,618126988,J.R.R. Tolkien,Philosophy,Houghton Mifflin,2001
The Torn Skirt,1737,60094850,Rebecca Godfrey,Philosophy,Perennial,2002
There's a Spiritual Solution to Every Problem,1738,60192305,Wayne W. Dyer,Philosophy,HarperCollins,2001
The Florabama Ladies' Auxiliary &amp; Sewing Circle,1739,142000361,Lois Battle,Philosophy,Penguin Books,2002
Howl and Other Poems (Pocket Poets),1740,872860175,Allen Ginsberg,Philosophy,City Lights Publishers,1956
"Frankenstein: Complete, Authoritative Text With Biographical, Historical, and Cultural Contexts, Critical History, and Essays from Contemporary Critic ... tive (Case Studies in Contemporary Criticism)",1741,031219126X,Mary Wollstonecraft Shelley,Philosophy,Bedford Books,2000
Short Stories of Ernest Hemingway (A Scribner classic),1742,20518609,Ernest Hemingway,Philosophy,Simon &amp; Schuster,1987
Back When We Were Grownups : A Novel (Ballantine Reader's Circle),1743,345446860,ANNE TYLER,Philosophy,Ballantine Books,2002
To Kill a Mockingbird,1744,446310492,Harper Lee,Philosophy,Warner Books,1985
Birds Bees And Babies 1994,1745,037348285X,Nora Roberts,Philosophy,Silhouette,1994
The Cat Who Played Brahms,1746,515090506,Lilian Jackson Braun,Philosophy,Jove Books,1997
Black Notice,1747,399145087,Patricia Daniels Cornwell,Philosophy,Putnam Pub Group,1999
Irish Eyes: A Nuala Anne McGrail Novel (Nuala Anne McGrail Novels (Paperback)),1748,812590244,Andrew M. Greeley,Philosophy,Forge,2001
Totally Useless Office Skills: 75 Great Ways to Play at Work,1749,963641328,Rick Davis,Philosophy,Hobblebush Books,1997
Catechism of the Catholic Church,1750,1574551108,Catholic Church,Philosophy,USCCB,2000
Father McBride's Family Catechism: Based on the Catechism of the Catholic Church,1751,879739304,Alfred McBride,Philosophy,Our Sunday Visitor,1997
The Missionary's Catechism,1752,965712516,Russell L. Ford,Philosophy,US,1998
The Enthusiasms of Roberston Davies,1753,670829943,Robertson Davies,Philosophy,Penguin USA,1990
As Nature Made Him: The Boy Who Was Raised As a Girl,1754,60192119,John Colapinto,Philosophy,HarperCollins Publishers,2000
Something Under the Bed Is Drooling,1755,836218256,Bill Watterson,Philosophy,Andrews McMeel Publishing,1988
The War Against Population: The Economics and Ideology of Population Control,1756,898707129,Jacqueline Kasun,Philosophy,Ignatius Press,1999
Mere Christianity,1757,805420460,C. S. Lewis,Philosophy,Broadman &amp; Holman Pub,2000
Haroun and the Sea of Stories,1758,140140352,Salman Rushdie,Philosophy,Penguin Putnam~trade,1991
"Wedding Day Murder: A Lucy Stone Mystery (Meier, Leslie. Lucy Stone Mystery.)",1759,1575666529,Leslie Meier,Philosophy,Kensington Publishing Corporation,2001
One for the Money (A Stephanie Plum Novel),1760,312990456,Janet Evanovich,Philosophy,St. Martin's Paperbacks,2003
The Complete Book of Food Counts (Complete Book of Food Counts),1761,440221102,Corinne T. Netzer,Philosophy,Dell,1998
The Beach House,1762,316969680,James Patterson,Philosophy,"Little, Brown",2002
Bar sport duemila (I narratori/Feltrinelli),1763,8807015293,Stefano Benni,Philosophy,Feltrinelli,1997
Senza Sangue,1764,881787017X,Alessandro Baricco,Philosophy,Rizzoli Publications,2002
Superior Women,1765,449207463,Alice Adams,Philosophy,Fawcett Books,1993
The BOOK OF BEBB,1766,689109865,Frederick Buechner,Philosophy,Scribner,1979
Homo Faber,1767,3518368540,Max Frisch,Philosophy,Distribooks Int'l+inc,0
Mason &amp; Dixon,1768,312423209,Thomas Pynchon,Philosophy,Picador,2004
Vineland,1769,141180633,Thomas Pynchon,Philosophy,Penguin Books,1997
Gravity's Rainbow,1770,140283382,Thomas Pynchon,Philosophy,Penguin Books,2000
The Book of Illusions (Thorndike Americana),1771,786248688,Paul Auster,Philosophy,Thorndike Press,2003
Maiden of the Mist: A Legend of Niagara Falls,1772,773762078,Veronika Martenova Charles,Philosophy,Stoddart Kids,2001
Self analysis: A simple self-help volume of tests and techniques based on the discoveries contained in dianetics,1773,884041093,L. Ron Hubbard,Philosophy,Bridge Publications,1982
Self Analysis,1774,884040801,Ron L. Hubbard,Philosophy,Bridge Pubns,1982
Rabbit-Proof Fence : The True Story of One of the Greatest Escapes of  All Time,1775,786887842,Doris Pilkington,Philosophy,Miramax,2002
Rain Uk,1776,450542912,Stephen Gallagher,Philosophy,Trafalgar Square,0
Kidnapped and Catriona (World Classics),1777,192817264,Robert Louis Stevenson,Philosophy,Oxford University Press,1986
Shes Leaving Home,1778,751522732,Edwina Currie,Philosophy,Little Brown UK Ltd,2001
South Seas Myths and Legends (Myths and Legends Series),1779,91850401,Donald A. Mackenzie,Philosophy,Trafalgar Square,1996
"20,000 Leagues Under the Sea (Wordsworth Collection)",1780,1853260312,Jules Verne,Philosophy,NTC/Contemporary Publishing Company,1998
Cider With Rosie,1781,140016821,Laurie Lee,Philosophy,Penguin USA,1978
"The Amber Spyglass (His Dark Materials, Book 3)",1782,440418569,PHILIP PULLMAN,Philosophy,Yearling,2003
Darkness,1783,786014210,Sam Siciliano,Philosophy,Kensington Publishing Corporation,2001
Forever Peace (Remembering Tomorrow),1784,441005667,Joe Haldeman,Philosophy,Ace Books,1998
Battle Cry,1785,553259830,Leon Uris,Philosophy,Bantam Books,1982
The Climb: Tragic Ambitions on Everest,1786,312965338,Anatoli Boukreev,Philosophy,St. Martin's Press,1998
"Climbing Mt. Shasta: Route 1, Avalanche Gulch",1787,1888740051,Steve Lewis,Philosophy,Photografix,1996
Fighter: The True Story of the Battle of Britain,1788,61008028,Len Deighton,Philosophy,Harper Mass Market Paperbacks (Mm),1994
Never Act Your Age: Play the Happy Childlike Role Well at Every Age,1789,1931646384,Dale L. Anderson,Philosophy,Beaver's Pond Press,2002
Lord of the Flies,1790,399501487,William Gerald Golding,Philosophy,Perigee Trade,1959
The Biograph Girl,1791,157566559X,William J. Mann,Philosophy,Kensington Publishing Corp.,2000
Sofies Welt,1792,3423125551,Jostein Gaarder,Philosophy,Deutscher Taschenbuch Verlag,1999
Dead Ringer,1793,60514949,Lisa Scottoline,Philosophy,HarperTorch,2004
"Cerulean Sins: An Anita Blake, Vampire Hunter Novel",1794,425188361,Laurell K. Hamilton,Philosophy,Berkley Publishing Group,2003
The Book of Shadows: A Novel,1795,66210151,James Reese,Philosophy,William Morrow,2002
The Hobbit (Leatherette Collector's Edition),1796,395177111,J. R. R. Tolkien,Philosophy,Houghton Mifflin Company,1973
Blackwood Farm (The Vampire Chronicles),1797,375411992,Anne Rice,Philosophy,Alfred A. Knopf,2002
Judge Judy Sheindlin's Win or Lose by How You Choose,1798,60287802,Judge Judy Sheindlin,Philosophy,HarperCollins,2000
Vishnus Tod.,1799,3442730066,Manil Suri,Philosophy,Btb Bei Goldmann,2002
Plays by and about Women,1800,394718968,VICTORIA SULLIVAN,Philosophy,Vintage,1974
The New Oxford Book of Light Verse (Oxford paperbacks),1801,192820753,Kingsley Amis,Philosophy,Oxford Univ Pr,1987
AUTOBIOGRAPHY OF FBI SPECIAL AGENT DALE COOPER,1802,671744003,Dale Cooper,Philosophy,Pocket,1991
Die Zauberfrau.,1803,3596129389,Hera Lind,Philosophy,"Fischer (Tb.), Frankfurt",1995
The Graywolf Annual Two : Short Stories by Women (Graywolf Annual),1804,915308789,Scott Walker,Philosophy,Graywolf Press,1986
Theos Reise. Roman Ã?Â¼ber die Religionen der Welt.,1805,3423620196,Catherine Clement,Philosophy,Dtv,2000
The Blackwater Lightship: A Novel,1806,743203313,Colm Toibin,Philosophy,Scribner,2001
Atlantis Found,1807,425177173,Clive Cussler,Philosophy,Berkley Publishing Group,2001
Primary Target,1808,425172554,Joe Weber,Philosophy,Berkley Publishing Group,1999
The Partner,1809,440224764,John Grisham,Philosophy,Dell Publishing Company,1998
The Alienist,1810,553572997,Caleb Carr,Philosophy,Bantam Books,1995
Manifold: Time (Manifold (Paperback)),1811,034543076X,Stephen Baxter,Philosophy,Del Rey Books,2000
Notes from a Small Island,1812,380727501,Bill Bryson,Philosophy,Perennial,1997
Dry : A Memoir,1813,312423799,Augusten Burroughs,Philosophy,Picador,2004
Welcome to Higby : A Novel,1814,743249887,Mark Dunn,Philosophy,Touchstone,2003
The Wooden Nickel: A Novel,1815,316089745,William Carpenter,Philosophy,Back Bay Books,2003
The Kalahari Typing School for Men : More from the No. 1 Ladies' Detective Agency,1816,037542217X,Alexander McCall Smith,Philosophy,Pantheon,2003
The Redemption of Althalus,1817,345440773,David Eddings,Philosophy,Del Rey,2000
Harvest,1818,440208912,BELVA PLAIN,Philosophy,Dell,1991
"Red, White and Blue : A Novel",1819,61093106,Susan Isaacs,Philosophy,HarperTorch,1999
Engaging The Enemy,1820,373218192,Nora Roberts,Philosophy,Silhouette,2003
Holding the Dream (Dream Trilogy),1821,515120006,Nora Roberts,Philosophy,Jove Books,2001
The Cat Who Saw Stars (Cat Who... (Paperback)),1822,515127396,Lilian Jackson Braun,Philosophy,Jove Books,2000
The Syndrome : A Thriller,1823,345433084,John Case,Philosophy,Ballantine Books,2001
Pope Joan (Ballantine Reader's Circle),1824,345416260,Donna Woolfolk Cross,Philosophy,Ballantine Books,1996
Into Thin Air : A Personal Account of the Mt. Everest Disaster,1825,385494785,JON KRAKAUER,Philosophy,Anchor,1999
Into the Wild,1826,385486804,Jon Krakauer,Biology,Anchor,1997
The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13),1827,385512104,Mark Haddon,Biology,Doubleday,2003
Baby B,1828,1555973981,Michael Ryan,Biology,Graywolf Press,2004
Material Witness,1829,451180208,Robert K. Tanenbaum,Biology,Signet Book,1994
Great Bike Rides in and Around Winston-Salem,1830,089587198X,Judi Lawson Wallace,Biology,John F. Blair Publisher,2000
Metaphysical Lyrics Poems 17 Cen,1831,198811020,Grierson,Biology,Oxford University Press,1997
World According to Garp: A Novel,1832,525237704,John Irving,Biology,Penguin USA,1978
Eat Right for Your Type,1833,039914255X,Peter J. D'Adamo,Biology,G. P. Putnam's Sons,1996
Dancing at the Victory Cafe: A Novel with Recipes,1834,340649763,Helene Wiggin,Biology,Hodder &amp; Stoughton General Division,1995
The Brethren,1835,440236673,John Grisham,Biology,Island,2000
Sliver: A Novel,1836,553295071,Ira Levin,Biology,Bantam Books,1993
The French Lieutenant's Woman (French Lieutenant's Woman),1837,316291161,John Fowles,Biology,Back Bay Books,1998
If Life Is a Bowl of Cherries What Am I Doing in the Pits,1838,449208397,Erma Bombeck,Biology,Fawcett Books,1990
The Magic Pudding: Being the Adventures of Bunyip Bluegum and His Friends Bill Barnacle &amp; Sam Sawnoff (New York Review Children's Collection),1839,1590171012,Norman Lindsay,Biology,New York Review Children's Collection,2004
The Sewing Circles of Herat : A Personal Voyage Through Afghanistan,1840,60505273,Christina Lamb,Biology,Perennial,2004
Jurassic Park/Congo,1841,752999958,Crichton Michael,Biology,Random House UK Ltd (A Division of Random House Group),1997
Setting Out on the Voyage: The World of an Incorrigible Adventurer,1842,702229962,Nancy Creagh Phelan,Biology,University of Queensland Pr (Australia),1998
The Law of Similars,1843,679771476,CHRIS BOHJALIAN,Biology,Vintage,2000
People of the Lie,1844,684848597,M. Scott Peck,Biology,Touchstone,1998
The Far Pavilions,1845,031215125X,M. M. Kaye,Biology,St. Martin's Press,1997
Walk Two Moons,1846,64405176,Sharon Creech,Biology,HarperTrophy,1996
Ramses the Son of Light,1847,684821192,Christian Jacq,Biology,Simon Schuster Trade,0
Independence Day,1848,61056871,Dean Devlin,Biology,HarperEntertainment,1996
Pet-Rified!,1849,590988301,Dean Marney,Biology,Scholastic,1997
The Company of Cats : 20 Contemporary Stories of Family Cats,1850,883659654,Michael J. Rosen,Biology,Galahad,2004
The Smoke Jumper,1851,440235162,Nicholas Evans,Biology,Dell Publishing Company,2002
I'm a Stranger Here Myself: Notes on Returning to America After 20 Years Away,1852,076790382X,Bill Bryson,Biology,Broadway Books,2000
Marilyn's almost terminal New York adventure,1853,330357808,Justine Ettler,Biology,Picador,1996
Cause of Death,1854,425158616,Patricia Daniels Cornwell,Biology,Berkley Publishing Group,1997
Atonement,1855,676974562,Ian McEwan,Biology,Random House,2002
"Whispering Rabbit, The",1856,307001385,Margaret Wise Brown,Biology,Golden Books,1992
The Mystery of the Poison Arrow Tree,1857,595157939,Shel Arensen,Biology,Authors Choice Press,2001
Sally Marshall Is Not an Alien (Uqp Storybridge Series),1858,702231088,Amanda McKay,Biology,Intl Specialized Book Service Inc,1999
Cantor's Dilemma,1859,140143599,Carl Djerassi,Biology,Penguin Books,1991
The Alchemist: A Fable About Following Your Dream,1860,62502182,Paulo Coelho,Biology,HarperSanFrancisco,1995
The Poisonwood Bible,1861,60175400,Barbara Kingsolver,Biology,HarperCollins,1999
My Dream of You,1862,1573221775,Nuala O'Faolain,Biology,Riverhead Books,2001
The Case for Christ : A Journalist's Personal Investigation of the Evidence for Jesus,1863,913367044,Lee Strobel,Biology,Zondervan Publishing House,1998
